energy,cross_section
1e-05,1159.66043
1.103037e-05,1104.18465
1.216691e-05,1051.36419
1.342055e-05,1001.07203
1.480336e-05,953.187221
1.632865e-05,907.594617
1.801111e-05,864.184576
1.986691e-05,822.852706
2.191394e-05,783.499613
2.417189e-05,746.030663
2.666248e-05,710.35575
2.940971e-05,676.389084
3.243999e-05,644.048982
3.578251e-05,613.257675
3.946943e-05,583.941115
4.353624e-05,556.028803
4.802208e-05,529.453615
5.297013e-05,504.151644
5.842801e-05,480.062044
6.444825e-05,457.126886
7.108881e-05,435.291013
7.841358e-05,414.501917
8.649308e-05,394.709603
9.540506e-05,375.866475
0.0001052353,357.927219
0.0001160784,340.848694
0.0001280388,324.58983
0.0001412315,309.111527
0.0001557836,294.376562
0.0001718351,280.3495
0.0001895404,266.996608
0.0002090701,254.285774
0.000230612,242.18643
0.0002543736,230.669477
0.0002805835,219.707218
0.0003094939,209.273289
0.0003413832,199.342596
0.0003765583,189.891254
0.0004153577,180.896532
0.0004581549,172.336794
0.0005053618,164.191453
0.0005574328,156.440913
0.0006148689,149.066532
0.0006782232,142.050567
0.0007481052,135.376137
0.0008251877,129.027182
0.0009102125,122.988423
0.001003998,117.245325
0.0011074469,111.784059
0.0012215549,106.591477
0.0013474202,101.655069
0.0014862542,96.9629405
0.0016393933,92.5037807
0.0018083114,88.266834
0.0020087052,83.9612419
0.0022311956,79.8890485
0.0024784524,76.0351034
0.0027529737,72.3923317
0.0030580529,68.9471589
0.0033967726,65.6932229
0.0037731962,62.6183649
0.0041911276,59.7168595
0.00465558,56.9778179
0.0051712473,54.3960792
0.0057443144,51.9618905
0.0063805735,49.6705866
0.0070876557,47.5134255
0.0078727078,45.4861712
0.0087451452,43.5809756
0.0097137864,41.7939658
0.01086583,40.0106074
0.0121545046,38.3483707
0.0135960144,36.8013107
0.0152084856,35.3637429
0.017012194,34.0302156
0.0191640588,32.7212169
0.0215870517,31.5181971
0.0243175881,30.4142873
0.0252418805,30.088116
0.0253,30.0683049
0.0286998199,29.0336029
0.0325565083,28.0955018
0.0371919781,27.2028439
0.0424853709,26.4035958
0.0488745034,25.6547374
0.0566210746,24.9616851
0.0660549466,24.3283745
0.0776004203,23.7567012
0.0924545758,23.2270856
0.1117006571,22.7479003
0.1368638186,22.323455
0.1712526746,21.9446064
0.2203711114,21.6083862
0.2936784244,21.3157424
0.4110504302,21.0645351
0.6127850377,20.8575972
1.007604153,20.6923475
1.960218974,20.5676234
5.337292236,20.4838056
43.34446541,20.43657
10372.7226,19.1491323
19716.55681,18.1340635
30226.7461,17.1265676
38355.21335,16.4388682
47658.63738,15.7200042
57765.47848,15.0197913
67318.54918,14.424948
81700.9457,13.623362
97335.24102,12.8679511
113125.6985,12.1990403
130000.0,11.5706921
145417.846,11.0732426
163401.8918,10.5452807
183827.1282,10.0200824
204252.3646,9.55721672
224677.601,9.14600688
246091.7395,8.76163274
267388.0147,8.41876859
292018.869,8.0635306
322257.3125,7.6765665
354594.3409,7.31633306
402821.6405,6.85533425
446207.608,6.50393307
493639.4118,6.16974695
557759.51,5.78944042
608464.92,5.53056409
663820.1839,5.28300493
714883.275,5.08007221
771311.581,4.88000954
834339.6256,4.68061465
918106.7913,4.44852087
1000000.0,4.24950682
1115519.02,4.00986097
1216929.84,3.82659768
1327640.372,3.65105744
1429766.554,3.50674739
1542623.162,3.36391835
1668679.251,3.22086668
1838271.282,3.05132404
2000000.0,2.9083876
2231038.04,2.73226644
2433859.68,2.59637911
2636681.32,2.47530634
2859533.103,2.35648741
3063785.467,2.25800334
3290929.412,2.15863008
3545943.409,2.05745057
3880794.923,1.93912608
4200000.0,1.83821323
4632448.865,1.71843687
5070541.0,1.61197171
5476184.28,1.52409836
5881827.56,1.4450833
6287470.84,1.37358826
6693114.12,1.30854601
7098757.4,1.24922869
7605811.5,1.18169036
8112865.6,1.12065813
8619919.7,1.06522162
9126973.8,1.0146407
9634027.9,0.968302402
10000000.0,0.936876576
10141082.0,0.925694798
10284154.41,0.914357168
10429245.32,0.902859584
10500000.0,0.8972527
10648136.1,0.88638748
10798362.13,0.875368971
10950707.59,0.864195011
11000000.0,0.8605796
11155190.2,0.850014841
11312569.85,0.839301032
11472169.85,0.828436071
11500000.0,0.8265415
11662244.3,0.816263875
11826777.58,0.805841252
11993632.12,0.795271584
12000000.0,0.7948682
12169298.4,0.784865136
12340985.3,0.774720947
12500000.0,0.7653255
12676352.5,0.755585128
12855193.02,0.745707337
13000000.0,0.7377093
13183406.6,0.728220319
13369400.74,0.718597466
13500000.0,0.7118406
13690460.7,0.702592476
13883608.46,0.693213878
14000000.0,0.6875623
14197514.8,0.67880718
14397816.18,0.669928541
14600943.45,0.66092464
14806936.48,0.651793711
15000000.0,0.6432359
15211623.0,0.634888791
15426231.62,0.626423918
15643867.98,0.617839622
15864574.8,0.609134217
16000000.0,0.6037926
16225731.2,0.595822325
16454647.06,0.587739603
16686792.51,0.579542849
16922213.12,0.571230454
17000000.0,0.5684839
17239839.4,0.560861972
17483062.5,0.553132512
17729717.04,0.545294003
17979851.44,0.537344907
18000000.0,0.5367046
18253947.6,0.529404952
18511477.94,0.52200232
18772641.58,0.51449525
19000000.0,0.5079599
19268055.8,0.500958524
19539893.38,0.493858371
19815566.11,0.486658047
20000000.0,0.4818408
